iso3,territorio,cod_subnacional,cod_local,anio,sexo,valor,indicador
COL,Nacional,No aplica,00 - Nacional,2005,Femenino,2.198538993160472,Mortalidad por suicidio (100.000 hab.)
COL,Huila,No aplica,41 - Huila,2005,Femenino,4.662765486209871,Mortalidad por suicidio (100.000 hab.)
COL,Neiva,Norte,41001 - Neiva,2005,Femenino,1.2548940869390623,Mortalidad por suicidio (100.000 hab.)
COL,Acevedo,Sur,41006 - Acevedo,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Agrado,Centro,41013 - Agrado,2005,Femenino,25.45824847250509,Mortalidad por suicidio (100.000 hab.)
COL,Aipe,Norte,41016 - Aipe,2005,Femenino,14.62629808395495,Mortalidad por suicidio (100.000 hab.)
COL,Algeciras,Norte,41020 - Algeciras,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Altamira,Centro,41026 - Altamira,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Baraya,Norte,41078 - Baraya,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Campoalegre,Norte,41132 - Campoalegre,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Colombia,Norte,41206 - Colombia,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Elías,Sur,41244 - Elías,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Garzón,Centro,41298 - Garzón,2005,Femenino,6.755843804891231,Mortalidad por suicidio (100.000 hab.)
COL,Gigante,Centro,41306 - Gigante,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Guadalupe,Centro,41319 - Guadalupe,2005,Femenino,13.64815067558346,Mortalidad por suicidio (100.000 hab.)
COL,Hobo,Norte,41349 - Hobo,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Íquira,Norte,41357 - Íquira,2005,Femenino,24.81389578163772,Mortalidad por suicidio (100.000 hab.)
COL,Isnos,Sur,41359 - Isnos,2005,Femenino,38.66602223296278,Mortalidad por suicidio (100.000 hab.)
COL,La Argentina,Occidente,41378 - La Argentina,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,La Plata,Occidente,41396 - La Plata,2005,Femenino,19.733207040808274,Mortalidad por suicidio (100.000 hab.)
COL,Nátaga,Occidente,41483 - Nátaga,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Oporapa,Sur,41503 - Oporapa,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Paicol,Occidente,41518 - Paicol,2005,Femenino,36.153289949385396,Mortalidad por suicidio (100.000 hab.)
COL,Palermo,Norte,41524 - Palermo,2005,Femenino,9.140767824497258,Mortalidad por suicidio (100.000 hab.)
COL,Palestina,Sur,41530 - Palestina,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Pital,Centro,41548 - Pital,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Pitalito,Sur,41551 - Pitalito,2005,Femenino,4.047026447317833,Mortalidad por suicidio (100.000 hab.)
COL,Rivera,Norte,41615 - Rivera,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Saladoblanco,Sur,41660 - Saladoblanco,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,San Agustín,Sur,41668 - San Agustín,2005,Femenino,14.214641080312722,Mortalidad por suicidio (100.000 hab.)
COL,Santa María,Norte,41676 - Santa María,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Suaza,Centro,41770 - Suaza,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Tarqui,Centro,41791 - Tarqui,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Tesalia,Occidente,41797 - Tesalia,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Tello,Norte,41799 - Tello,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Teruel,Norte,41801 - Teruel,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Timaná,Sur,41807 - Timaná,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Villavieja,Norte,41872 - Villavieja,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Yaguará,Norte,41885 - Yaguará,2005,Femenino,0,Mortalidad por suicidio (100.000 hab.)
COL,Nacional,No aplica,00 - Nacional,2005,Masculino,8.090844966635421,Mortalidad por suicidio (100.000 hab.)
COL,Huila,No aplica,41 - Huila,2005,Masculino,10.001276758735157,Mortalidad por suicidio (100.000 hab.)
COL,Neiva,Norte,41001 - Neiva,2005,Masculino,7.43298488401165,Mortalidad por suicidio (100.000 hab.)
COL,Acevedo,Sur,41006 - Acevedo,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Agrado,Centro,41013 - Agrado,2005,Masculino,50.76142131979696,Mortalidad por suicidio (100.000 hab.)
COL,Aipe,Norte,41016 - Aipe,2005,Masculino,14.634860237084736,Mortalidad por suicidio (100.000 hab.)
COL,Algeciras,Norte,41020 - Algeciras,2005,Masculino,9.269558769002595,Mortalidad por suicidio (100.000 hab.)
COL,Altamira,Centro,41026 - Altamira,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Baraya,Norte,41078 - Baraya,2005,Masculino,23.668639053254438,Mortalidad por suicidio (100.000 hab.)
COL,Campoalegre,Norte,41132 - Campoalegre,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Colombia,Norte,41206 - Colombia,2005,Masculino,22.158209616662973,Mortalidad por suicidio (100.000 hab.)
COL,Elías,Sur,41244 - Elías,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Garzón,Centro,41298 - Garzón,2005,Masculino,19.309989701338825,Mortalidad por suicidio (100.000 hab.)
COL,Gigante,Centro,41306 - Gigante,2005,Masculino,8.612522607871846,Mortalidad por suicidio (100.000 hab.)
COL,Guadalupe,Centro,41319 - Guadalupe,2005,Masculino,12.712941774726671,Mortalidad por suicidio (100.000 hab.)
COL,Hobo,Norte,41349 - Hobo,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Íquira,Norte,41357 - Íquira,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Isnos,Sur,41359 - Isnos,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,La Argentina,Occidente,41378 - La Argentina,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,La Plata,Occidente,41396 - La Plata,2005,Masculino,11.691804045364199,Mortalidad por suicidio (100.000 hab.)
COL,Nátaga,Occidente,41483 - Nátaga,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Oporapa,Sur,41503 - Oporapa,2005,Masculino,19.857029388403493,Mortalidad por suicidio (100.000 hab.)
COL,Paicol,Occidente,41518 - Paicol,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
COL,Palermo,Norte,41524 - Palermo,2005,Masculino,0,Mortalidad por suicidio (100.000 hab.)
