iso3,NAME_2,anio,sexo,grupo_edad,zona,valor
COL,Altos del Sol,2016,Ambos sexos,15-19,periurbano,0.631578947368421
COL,Altos del Sol,2016,Ambos sexos,20-34,periurbano,0.5065359477124183
COL,Altos del Sol,2016,Ambos sexos,35-49,periurbano,0.4148148148148148
COL,Altos del Sol,2016,Ambos sexos,50-64,periurbano,0.5231481481481481
COL,Altos del Sol,2016,Ambos sexos,65 y más,periurbano,0.45054945054945056
COL,Altos del Sol,2016,Ambos sexos,Todas las edades,periurbano,0.5012135922330098
COL,Altos del Sol,2016,Hombres,15-19,periurbano,0.5925925925925926
COL,Altos del Sol,2016,Hombres,20-34,periurbano,0.48502994011976047
COL,Altos del Sol,2016,Hombres,35-49,periurbano,0.36363636363636365
COL,Altos del Sol,2016,Hombres,50-64,periurbano,0.5543478260869565
COL,Altos del Sol,2016,Hombres,65 y más,periurbano,0.49122807017543857
COL,Altos del Sol,2016,Hombres,Todas las edades,periurbano,0.4889975550122249
COL,Altos del Sol,2016,Mujeres,15-19,periurbano,0.6530612244897959
COL,Altos del Sol,2016,Mujeres,20-34,periurbano,0.5323741007194245
COL,Altos del Sol,2016,Mujeres,35-49,periurbano,0.463768115942029
COL,Altos del Sol,2016,Mujeres,50-64,periurbano,0.5
COL,Altos del Sol,2016,Mujeres,65 y más,periurbano,0.38235294117647056
COL,Altos del Sol,2016,Mujeres,Todas las edades,periurbano,0.5132530120481927
COL,Altos del Sol,2017,Ambos sexos,15-19,periurbano,0.5470085470085471
COL,Altos del Sol,2017,Ambos sexos,20-34,periurbano,0.5063291139240507
COL,Altos del Sol,2017,Ambos sexos,35-49,periurbano,0.5364963503649635
COL,Altos del Sol,2017,Ambos sexos,50-64,periurbano,0.5
COL,Altos del Sol,2017,Ambos sexos,65 y más,periurbano,0.4880952380952381
COL,Altos del Sol,2017,Ambos sexos,Todas las edades,periurbano,0.519159456118665
COL,Altos del Sol,2017,Hombres,15-19,periurbano,0.54
COL,Altos del Sol,2017,Hombres,20-34,periurbano,0.4878048780487805
COL,Altos del Sol,2017,Hombres,35-49,periurbano,0.45871559633027525
COL,Altos del Sol,2017,Hombres,50-64,periurbano,0.5567010309278351
COL,Altos del Sol,2017,Hombres,65 y más,periurbano,0.4411764705882353
COL,Altos del Sol,2017,Hombres,Todas las edades,periurbano,0.5
COL,Altos del Sol,2017,Mujeres,15-19,periurbano,0.5522388059701493
COL,Altos del Sol,2017,Mujeres,20-34,periurbano,0.5263157894736842
COL,Altos del Sol,2017,Mujeres,35-49,periurbano,0.5878787878787879
COL,Altos del Sol,2017,Mujeres,50-64,periurbano,0.43037974683544306
COL,Altos del Sol,2017,Mujeres,65 y más,periurbano,0.52
COL,Altos del Sol,2017,Mujeres,Todas las edades,periurbano,0.5354691075514875
COL,Altos del Sol,2018,Ambos sexos,15-19,periurbano,0.5284552845528455
COL,Altos del Sol,2018,Ambos sexos,20-34,periurbano,0.4357976653696498
COL,Altos del Sol,2018,Ambos sexos,35-49,periurbano,0.46153846153846156
COL,Altos del Sol,2018,Ambos sexos,50-64,periurbano,0.5033112582781457
COL,Altos del Sol,2018,Ambos sexos,65 y más,periurbano,0.5072463768115942
COL,Altos del Sol,2018,Ambos sexos,Todas las edades,periurbano,0.47503045066991473
COL,Altos del Sol,2018,Hombres,15-19,periurbano,0.5238095238095238
COL,Altos del Sol,2018,Hombres,20-34,periurbano,0.4051724137931034
COL,Altos del Sol,2018,Hombres,35-49,periurbano,0.4024390243902439
COL,Altos del Sol,2018,Hombres,50-64,periurbano,0.6507936507936508
COL,Altos del Sol,2018,Hombres,65 y más,periurbano,0.5652173913043478
